datetime,tempmax,tempmin,humidity,precip,windspeed,sealevelpressure,cloudcover,solarradiation
2014-06-08,27.2,16.9,88.2,9.1,17.3,1008.5,96.4,151.6
2014-06-09,27.1,16.9,84.1,11.2,14.8,1007.8,88.6,257.1
2014-06-10,25.1,16.7,85.8,6.1,15.5,1009.3,90.5,193.7
2014-06-11,25.9,16.2,82.2,1.7,11.5,1010.8,89.0,176.5
2014-06-12,27.8,17.7,83.4,4.9,14.8,1009.9,78.9,218.8
2014-06-13,28.0,17.7,82.2,1.9,14.4,1009.3,70.0,253.0
2014-06-14,30.1,19.0,74.6,0.0,16.6,1005.7,53.7,317.2
2014-06-15,30.2,15.7,80.5,1.5,16.9,1009.3,62.5,278.9
2014-06-16,29.5,19.5,75.8,6.3,11.5,1008.2,59.8,254.8
2014-06-17,28.7,17.2,78.7,22.7,14.4,1008.8,67.0,240.0
2014-06-18,29.1,16.1,79.3,6.6,14.4,1008.7,78.9,196.7
2014-06-19,28.2,16.4,78.4,2.5,15.1,1008.3,68.8,261.1
2014-06-20,26.3,16.1,82.2,8.0,14.4,1009.2,85.0,176.6
2014-06-21,29.4,15.7,83.4,4.2,18.0,1009.2,85.7,187.9
2014-06-22,28.4,17.9,80.7,1.8,11.9,1009.1,89.4,196.9
2014-06-23,27.7,17.9,83.3,3.2,15.5,1009.5,93.3,197.2
2014-06-24,26.4,17.4,83.3,12.8,14.0,1011.1,90.1,202.0
2014-06-25,25.4,16.9,87.2,13.9,16.2,1012.2,82.3,247.2
2014-06-26,27.4,16.2,81.4,3.8,18.0,1011.5,92.6,301.8
2014-06-27,27.1,17.2,82.5,0.9,20.2,1011.0,93.2,272.6
2014-06-28,27.1,17.9,83.7,6.6,21.2,1010.6,91.2,258.7
2014-06-29,26.7,16.7,81.3,2.1,13.7,1011.9,92.2,229.2
2014-06-30,27.8,18.4,80.2,0.8,15.1,1012.5,92.9,284.5
2015-06-01,23.9,12.6,86.9,16.4,14.4,1016.7,98.9,142.5
2015-06-02,26.4,12.5,81.6,12.5,10.8,1015.5,99.9,188.3
2015-06-03,22.9,14.4,86.9,16.5,32.4,1014.7,99.6,182.6
2015-06-04,25.9,13.1,84.0,14.6,10.8,1014.5,98.6,174.6
2015-06-05,25.1,13.0,83.1,3.5,14.4,1016.1,97.3,199.2
2015-06-06,26.9,14.2,84.2,15.1,10.8,1015.8,92.3,198.8
2015-06-07,29.4,13.5,82.0,14.7,10.8,1015.1,89.9,210.9
